image_idx,hex,rgb,hsl,lab,gbifID,identifier,latitude,longitude
0,#d4b4e2,"(212, 180, 226)","(0.782608695652174, 0.44230769230769224, 0.7960784313725491)","(197, 148, 109)",923911394,https://inaturalist-open-data.s3.amazonaws.com/photos/643856/original.jpg,48.826305,-102.092171
2,#cdb3cd,"(205, 179, 205)","(0.8333333333333334, 0.2063492063492065, 0.7529411764705882)","(193, 142, 118)",923910407,https://inaturalist-open-data.s3.amazonaws.com/photos/479981/original.jpg,43.613086,-73.057076
4,#bda5d7,"(189, 165, 215)","(0.7466666666666667, 0.3846153846153846, 0.7450980392156863)","(182, 146, 106)",899970365,https://inaturalist-open-data.s3.amazonaws.com/photos/793926/original.JPG,43.066871,-87.890565
7,#9984ae,"(153, 132, 174)","(0.75, 0.2058823529411765, 0.6000000000000001)","(149, 144, 109)",891778924,https://inaturalist-open-data.s3.amazonaws.com/photos/622011/original.jpg,42.140556,-87.831643
9,#ba9fdd,"(186, 159, 221)","(0.739247311827957, 0.476923076923077, 0.7450980392156863)","(178, 150, 100)",891760719,https://inaturalist-open-data.s3.amazonaws.com/photos/570429/original.JPG,38.67924,-97.990035
10,#c1b4ea,"(193, 180, 234)","(0.70679012345679, 0.5624999999999998, 0.8117647058823529)","(194, 143, 103)",891745778,https://inaturalist-open-data.s3.amazonaws.com/photos/520214/original.JPG,41.81441,-88.089387
11,#d7c7f4,"(215, 199, 244)","(0.7259259259259259, 0.6716417910447764, 0.8686274509803922)","(211, 142, 108)",891743931,https://inaturalist-open-data.s3.amazonaws.com/photos/510439/original.JPG,41.743588,-88.196054
16,#e6cae7,"(230, 202, 231)","(0.8275862068965517, 0.3766233766233767, 0.8490196078431372)","(215, 143, 117)",891719032,https://inaturalist-open-data.s3.amazonaws.com/photos/432277/original.jpg,43.620726,-72.544541
17,#dbc1d2,"(219, 193, 210)","(0.891025641025641, 0.26530612244897955, 0.807843137254902)","(206, 140, 123)",891718939,https://inaturalist-open-data.s3.amazonaws.com/photos/431492/original.jpg,40.809979,-73.962703
19,#b287d6,"(178, 135, 214)","(0.7573839662447258, 0.49068322981366463, 0.6843137254901961)","(161, 159, 94)",891717011,https://inaturalist-open-data.s3.amazonaws.com/photos/423254/original.jpg,43.859333,-72.588667
21,#cfbde2,"(207, 189, 226)","(0.7477477477477478, 0.38947368421052614, 0.8137254901960784)","(202, 141, 112)",891715794,https://inaturalist-open-data.s3.amazonaws.com/photos/420466/original.jpg,38.979642,-76.452699
22,#bd9db9,"(189, 157, 185)","(0.8541666666666667, 0.1951219512195122, 0.6784313725490196)","(174, 145, 118)",891714729,https://inaturalist-open-data.s3.amazonaws.com/photos/417552/original.jpg,40.463706,-82.637937
23,#c7b5d7,"(199, 181, 215)","(0.7549019607843137, 0.2982456140350877, 0.7764705882352941)","(194, 141, 113)",891712603,https://inaturalist-open-data.s3.amazonaws.com/photos/409499/original.jpg,40.505333,-80.674833
24,#f4e1de,"(244, 225, 222)","(0.022727272727272634, 0.5000000000000007, 0.9137254901960785)","(232, 134, 132)",891174786,https://inaturalist-open-data.s3.amazonaws.com/photos/403794/original.jpg,41.064969,-80.088517
29,#aa92b9,"(170, 146, 185)","(0.7692307692307692, 0.217877094972067, 0.6490196078431372)","(163, 144, 111)",891168511,https://inaturalist-open-data.s3.amazonaws.com/photos/382355/original.jpg,35.986856,-79.058082
31,#ddcecc,"(221, 206, 204)","(0.019607843137254832, 0.2, 0.8333333333333334)","(214, 133, 131)",891165845,https://inaturalist-open-data.s3.amazonaws.com/photos/373397/original.jpg,35.98712,-79.057745
33,#c38eca,"(195, 142, 202)","(0.8138888888888888, 0.36144578313253006, 0.6745098039215687)","(168, 158, 105)",891107061,https://inaturalist-open-data.s3.amazonaws.com/photos/205407/original.JPG,44.196556,-104.262012
34,#e1c6df,"(225, 198, 223)","(0.845679012345679, 0.3103448275862067, 0.8294117647058823)","(211, 142, 119)",891091664,https://inaturalist-open-data.s3.amazonaws.com/photos/155468/original.jpg,43.366662,-80.996129
36,#be9abb,"(190, 154, 187)","(0.8472222222222223, 0.2168674698795182, 0.6745098039215687)","(173, 147, 116)",891088093,https://inaturalist-open-data.s3.amazonaws.com/photos/143646/original.jpg,41.064575,-80.087875
43,#d6a1d3,"(214, 161, 211)","(0.8427672955974843, 0.39259259259259277, 0.7352941176470589)","(185, 156, 110)",5064108531,https://inaturalist-open-data.s3.amazonaws.com/photos/469362381/original.jpg,42.330147,-88.017097
45,#d6a8f5,"(214, 168, 245)","(0.7662337662337663, 0.7938144329896909, 0.8098039215686275)","(192, 159, 96)",5064048115,https://inaturalist-open-data.s3.amazonaws.com/photos/469578150/original.jpeg,44.930448,-92.981899
57,#bba2c8,"(187, 162, 200)","(0.7763157894736842, 0.25675675675675674, 0.7098039215686274)","(178, 144, 112)",5063889380,https://inaturalist-open-data.s3.amazonaws.com/photos/468261322/original.jpg,39.031382,-77.114737
59,#c688bd,"(198, 136, 189)","(0.8575268817204301, 0.3522727272727273, 0.6549019607843137)","(164, 160, 110)",5063878304,https://inaturalist-open-data.s3.amazonaws.com/photos/468114804/original.jpg,42.315972,-87.875437
60,#c38dc5,"(195, 141, 197)","(0.8273809523809522, 0.3255813953488373, 0.6627450980392158)","(167, 158, 107)",5063878304,https://inaturalist-open-data.s3.amazonaws.com/photos/468114936/original.jpg,42.315972,-87.875437
61,#c388bb,"(195, 136, 187)","(0.8559322033898306, 0.3296089385474859, 0.6490196078431372)","(163, 159, 110)",5063878304,https://inaturalist-open-data.s3.amazonaws.com/photos/468114837/original.jpg,42.315972,-87.875437
62,#c890c5,"(200, 144, 197)","(0.8422619047619048, 0.3373493975903615, 0.6745098039215687)","(170, 158, 109)",5063878304,https://inaturalist-open-data.s3.amazonaws.com/photos/468114881/original.jpg,42.315972,-87.875437
64,#c88bbb,"(200, 139, 187)","(0.8688524590163935, 0.35672514619883045, 0.6647058823529411)","(166, 159, 112)",5063878304,https://inaturalist-open-data.s3.amazonaws.com/photos/468115008/original.jpg,42.315972,-87.875437
65,#c790c3,"(199, 144, 195)","(0.8454545454545455, 0.3293413173652695, 0.6725490196078432)","(170, 157, 110)",5063878304,https://inaturalist-open-data.s3.amazonaws.com/photos/468115071/original.jpg,42.315972,-87.875437
67,#ae8db6,"(174, 141, 182)","(0.8008130081300813, 0.21925133689839568, 0.6333333333333333)","(160, 148, 111)",5063825479,https://inaturalist-open-data.s3.amazonaws.com/photos/467844503/original.jpeg,42.738766,-77.897278
68,#bf80d1,"(191, 128, 209)","(0.7962962962962963, 0.46820809248554907, 0.6607843137254902)","(160, 166, 96)",5063823636,https://inaturalist-open-data.s3.amazonaws.com/photos/467983336/original.jpg,40.388098,-105.844569
71,#c6a3c6,"(198, 163, 198)","(0.8333333333333334, 0.23489932885906045, 0.7078431372549019)","(181, 147, 115)",5063813271,https://inaturalist-open-data.s3.amazonaws.com/photos/468137070/original.jpeg,47.628627,-103.392616
72,#be9bc2,"(190, 155, 194)","(0.8162393162393163, 0.24223602484472054, 0.6843137254901961)","(174, 148, 113)",5063813271,https://inaturalist-open-data.s3.amazonaws.com/photos/468137084/original.jpeg,47.628627,-103.392616
