global_index,flower_present
0,YES
1,NO
2,YES
3,NO
4,YES
5,NO
6,NO
7,YES
8,NO
9,YES
10,YES
11,YES
12,NO
13,NO
14,NO
15,NO
16,YES
17,YES
18,NO
19,YES
20,NO
21,YES
22,YES
23,YES
24,YES
25,NO
26,NO
27,NO
28,NO
29,YES
30,NO
31,YES
32,NO
33,YES
34,YES
35,NO
36,YES
37,NO
38,NO
39,NO
40,NO
41,NO
42,NO
43,YES
44,NO
45,YES
46,NO
47,NO
48,NO
49,NO
50,NO
51,NO
52,NO
53,NO
54,NO
55,NO
56,NO
57,YES
58,NO
59,YES
60,YES
61,YES
62,YES
63,NO
64,YES
65,YES
66,NO
67,YES
68,YES
69,NO
70,NO
71,YES
72,YES
73,NO
74,NO
75,YES
76,NO
77,NO
78,YES
79,NO
80,YES
81,YES
82,YES
83,YES
84,YES
85,NO
86,YES
87,YES
88,YES
89,YES
90,NO
91,YES
92,NO
93,NO
94,YES
95,NO
96,NO
97,NO
98,NO
99,YES
100,NO
101,NO
102,YES
103,NO
104,YES
105,NO
106,NO
107,NO
108,NO
109,NO
110,NO
111,NO
112,NO
113,NO
114,NO
115,NO
116,NO
117,NO
118,NO
119,NO
120,NO
121,NO
122,NO
123,YES
124,NO
125,NO
126,NO
127,NO
128,NO
129,NO
130,NO
131,NO
132,NO
133,NO
134,NO
135,NO
136,NO
137,NO
138,NO
139,NO
140,NO
141,NO
142,NO
143,YES
144,NO
145,NO
146,NO
147,NO
148,NO
149,NO
150,NO
151,NO
152,NO
153,NO
154,YES
155,NO
156,NO
157,NO
158,NO
159,NO
160,YES
161,YES
162,NO
163,NO
164,NO
165,NO
166,NO
167,NO
168,YES
169,YES
170,YES
171,YES
172,NO
173,NO
174,NO
175,YES
176,YES
177,YES
178,YES
179,YES
180,YES
181,YES
182,NO
183,NO
184,YES
185,NO
186,NO
187,YES
188,NO
189,NO
190,NO
191,NO
192,NO
193,YES
194,YES
195,NO
196,YES
197,YES
198,YES
199,NO
200,YES
201,NO
202,YES
203,YES
204,YES
205,NO
206,YES
207,YES
208,YES
209,NO
210,NO
211,NO
212,YES
213,NO
214,YES
215,YES
216,YES
217,NO
218,YES
219,YES
220,NO
221,YES
